file_path,transcript,mfcc_features
data\ASI\ASI\wav\arctic_a0001.wav,Author of the danger trail Philip Steels etc,"[[-6.4196552e+02  9.7537964e+01  3.3366821e+01 ... -1.8437755e-01
  -7.6728735e+00 -1.0836844e+01]
 [-6.7457721e+02  7.8884369e+01  3.2467739e+01 ...  1.1638041e+01
   5.8184166e+00 -3.7313790e+00]
 [-6.4556787e+02  9.8071228e+01  2.2662560e+01 ...  1.0864049e+01
   1.9286634e+01  1.4547397e+01]
 ...
 [-6.5045642e+02  9.7135925e+01  4.1950069e+01 ...  1.4232201e+01
   7.6329575e+00  2.0774870e+00]
 [-6.5410590e+02  8.5953156e+01  4.6413620e+01 ...  8.0135183e+00
   2.5900424e-01  2.4311476e+00]
 [-6.5150238e+02  7.8451866e+01  3.0519688e+01 ... -2.5224848e+00
  -6.1790113e+00 -1.0322764e+01]]"
data\ASI\ASI\wav\arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,"[[-637.3297      96.020645    27.636106  ...  -16.473492    -6.134334
   -10.938099 ]
 [-633.3937      76.06936     30.556328  ...    3.6600285    5.8804884
    -5.903287 ]
 [-617.5644      67.252335    32.726196  ...   -2.3672948    4.998637
     4.020441 ]
 ...
 [-662.74994    108.38693     23.828289  ...   15.395615    -4.558715
   -10.622735 ]
 [-666.2187     108.98536     29.72602   ...    8.98781     -4.055382
    -1.0564184]
 [-685.0148      94.885086    24.504795  ...    5.0529413   -9.2731285
    -7.6454597]]"
data\ASI\ASI\wav\arctic_a0003.wav,For the twentieth time that evening the two men shook hands,"[[-6.3235931e+02  8.5414795e+01  4.5735874e+00 ...  5.0105968e+00
   2.1543489e+00 -1.0322569e+01]
 [-6.2452173e+02  9.1172241e+01  1.1716915e+01 ... -6.8857141e+00
   2.0741401e+00  5.7850558e-01]
 [-6.5919415e+02  8.9783508e+01  2.7584749e+01 ... -4.2324157e+00
   6.3814898e+00  2.2206545e+00]
 ...
 [-6.6328876e+02  1.0310086e+02  4.1671440e+01 ...  9.1953945e+00
  -3.6218507e+00 -5.7059050e+00]
 [-6.7283612e+02  9.5498001e+01  3.5217400e+01 ...  3.6162252e+00
  -2.1481185e+00  2.2450089e-01]
 [-6.8270264e+02  8.7439949e+01  4.1153831e+01 ...  1.2546981e+01
   1.2790735e+00  3.1160712e+00]]"
data\ASI\ASI\wav\arctic_a0004.wav,Lord but I'm glad to see you again Phil,"[[-644.96814     88.633675    33.10755   ...   -2.559819    -7.9948254
    -3.6388307]
 [-660.269       83.86177     43.09997   ...    9.731623     3.976882
     1.8500376]
 [-663.18286     82.382935    40.911156  ...   -0.7437135   -7.289868
    -5.928241 ]
 ...
 [-642.77924     92.19241     29.216232  ...    5.9465446   -9.65349
    -9.63237  ]
 [-654.2969      86.18294     35.69387   ...   12.476616     6.605268
     5.8334255]
 [-661.44885     86.21867     46.377357  ...   10.617147     3.9745977
     6.216773 ]]"
data\ASI\ASI\wav\arctic_a0005.wav,Will we ever forget it,"[[-608.4757     105.9233      21.4642    ...    3.5886931    7.903311
     4.9690175]
 [-679.73083    102.604065    50.88459   ...    9.949961     6.6856465
     3.5184546]
 [-661.09814    104.08371     41.47334   ...   -1.3411167    6.458781
     4.9717946]
 ...
 [-691.09705     87.86963     39.45777   ...   11.202097    -1.5263319
   -11.695347 ]
 [-681.83606     98.84022     45.728806  ...    7.171194     3.6329646
     1.8199131]
 [-638.6115      94.57153     29.85886   ...    1.0607996   -6.9274397
    -7.195135 ]]"
data\ASI\ASI\wav\arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,"[[-6.3494666e+02  7.3322449e+01  5.1781136e+01 ...  3.2642000e+00
   1.6281440e+00 -1.5900911e+00]
 [-6.4562256e+02  5.8769157e+01  3.8200481e+01 ...  1.5030234e+01
   8.7123127e+00 -5.6659245e-01]
 [-6.3658929e+02  7.0751282e+01  4.6823723e+01 ...  3.8018856e+00
  -5.5880699e+00 -1.2325368e+01]
 ...
 [-6.4086847e+02  6.1977036e+01  3.5923862e+01 ...  5.4995861e+00
   5.1926837e+00 -3.4009950e+00]
 [-6.4446552e+02  5.7500732e+01  3.3769928e+01 ...  4.1116943e+00
  -1.9242249e+00 -3.3185360e+00]
 [-6.4258716e+02  6.5637115e+01  4.9619892e+01 ...  1.2687360e+00
  -2.8185225e+00 -2.1792743e+00]]"
data\ASI\ASI\wav\arctic_a0007.wav,And you always want to see it in the superlative degree,"[[-6.6846960e+02  6.6280685e+01  4.7668335e+01 ...  1.0281976e+00
  -3.9643562e+00 -7.9924765e+00]
 [-6.5829639e+02  7.1014183e+01  4.2929565e+01 ... -7.7120976e+00
  -9.2159204e+00 -3.0558095e+00]
 [-6.6656464e+02  8.1970818e+01  5.2114601e+01 ...  1.8650266e+00
   3.4020668e-01  2.7270434e+00]
 ...
 [-6.7098297e+02  7.7667221e+01  4.8256939e+01 ...  6.1581774e+00
  -5.4040611e-01 -1.2029834e+00]
 [-6.7086243e+02  7.8430374e+01  4.9050079e+01 ...  1.6768608e+01
   1.2560063e+01  7.2613258e+00]
 [-6.6185632e+02  8.7138809e+01  5.3074043e+01 ...  5.1892004e+00
   4.0389919e+00  2.7948933e+00]]"
data\ASI\ASI\wav\arctic_a0008.wav,Gad your letter came just in time,"[[-696.0988       69.50981      35.337128   ...   -3.9416854
    -3.4535217     0.93092597]
 [-650.1672       90.43082      40.39563    ...    4.541811
     5.0758924     1.3879199 ]
 [-623.36786     102.55545      48.480087   ...   -0.97184503
    -2.870904     -7.668461  ]
 ...
 [-606.4434       94.29213      18.086767   ...    4.015519
    10.962717     10.171783  ]
 [-627.1101       79.94922      34.19318    ...   -7.9504595
    -2.9845135    -9.718525  ]
 [-632.69385      78.84309      26.221416   ...    4.293072
    10.100092      3.423139  ]]"
data\ASI\ASI\wav\arctic_a0009.wav,He turned sharply and faced Gregson across the table,"[[-6.7351123e+02  7.1405258e+01  3.3744743e+01 ...  3.7764406e+00
   3.4403987e+00  4.5010004e+00]
 [-6.7028461e+02  7.6622421e+01  4.4910168e+01 ... -6.5197653e-01
  -2.4020610e+00  4.6943955e+00]
 [-6.7671881e+02  7.8579849e+01  5.0840435e+01 ... -4.5574455e+00
  -1.9750891e+00  4.8749599e+00]
 ...
 [-6.5302448e+02  8.6440826e+01  3.2721642e+01 ...  4.7317400e+00
  -2.4984567e+00 -1.6001409e+00]
 [-6.5636066e+02  8.6131607e+01  3.4341103e+01 ...  1.3429773e+01
   7.7002680e-01 -4.6678414e+00]
 [-6.5897955e+02  8.2264877e+01  2.6419899e+01 ...  1.4213757e+01
   1.9027493e+00 -4.7361002e+00]]"
data\ASI\ASI\wav\arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,"[[-7.0515680e+02  9.4884811e+01  5.4612083e+01 ... -1.2551924e+00
   7.1994150e-01  1.3078146e+00]
 [-6.7003430e+02  1.0628589e+02  2.2122395e+01 ...  8.4193792e+00
   4.1346178e+00  2.0366225e+00]
 [-6.7008502e+02  9.4341507e+01  1.7179970e+01 ... -4.3396950e+00
  -1.5258161e+01 -8.0812969e+00]
 ...
 [-6.6624347e+02  1.0158608e+02  3.5064217e+01 ...  4.2645917e+00
  -1.6973716e+00  2.1014228e+00]
 [-6.6389508e+02  1.0609031e+02  3.6249489e+01 ...  8.0945091e+00
  -6.2275777e+00  3.6388202e+00]
 [-6.7189496e+02  8.6814758e+01  3.0724644e+01 ...  3.2011271e+00
  -4.8953038e-01 -3.7091273e-01]]"
data\ASI\ASI\wav\arctic_a0011.wav,If I ever needed a fighter in my life I need one now,"[[-6.69942993e+02  9.10035858e+01  2.39769402e+01 ... -9.24984837e+00
  -6.16371965e+00  1.10801733e+00]
 [-6.71801514e+02  1.01706177e+02  3.75423508e+01 ... -4.75083923e+00
  -1.82342935e+00  4.81696129e-02]
 [-6.80871338e+02  1.01541245e+02  4.52376747e+01 ... -9.86896992e-01
  -6.84213829e+00 -1.03680897e+00]
 ...
 [-6.61478943e+02  1.20140175e+02  3.41000061e+01 ...  1.71682281e+01
   3.07291055e+00 -4.89913464e+00]
 [-6.68632507e+02  1.11193237e+02  3.16441956e+01 ...  1.10116501e+01
  -7.34501266e+00 -3.00775862e+00]
 [-6.70943237e+02  9.95623093e+01  4.10474014e+01 ... -7.12974834e+00
  -5.04530144e+00 -7.40620971e-01]]"
data\ASI\ASI\wav\arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,"[[-6.5864948e+02  9.2454315e+01  4.5069122e+01 ... -5.5711098e+00
  -1.1247658e+01 -1.3358916e+01]
 [-6.5179742e+02  8.7448654e+01  3.8883228e+01 ... -8.7543887e-01
   1.8563457e+00 -1.0732473e+01]
 [-6.3748944e+02  8.7763588e+01  3.1564571e+01 ...  4.1029081e+00
   7.2087088e+00 -2.8187118e+00]
 ...
 [-6.4842566e+02  9.8113693e+01  2.7998783e+01 ... -5.2543917e+00
  -6.1202173e+00  1.2105064e+01]
 [-6.5786249e+02  9.4106758e+01  3.4248398e+01 ...  3.0145591e-01
  -2.1832893e+00  7.0288010e+00]
 [-6.6542218e+02  9.1362656e+01  4.1820236e+01 ...  2.5894766e+00
   3.8904920e+00  8.0938826e+00]]"
data\ASI\ASI\wav\arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,"[[-6.19152405e+02  9.71434860e+01  2.57986870e+01 ... -1.13020935e+01
   7.25866222e+00  8.03589439e+00]
 [-6.43592957e+02  7.29091034e+01  3.00619164e+01 ...  3.87956977e-01
   1.32318935e+01  3.72122741e+00]
 [-6.57045105e+02  5.75774994e+01  3.26539459e+01 ...  1.58674419e+00
  -9.25139666e-01 -1.44518299e+01]
 ...
 [-6.41200317e+02  5.56615219e+01  3.58000259e+01 ... -8.01373672e+00
  -3.34038043e+00 -9.05640507e+00]
 [-6.34894043e+02  6.55322876e+01  3.93585281e+01 ...  6.23033571e+00
   1.18594980e+01 -4.17180634e+00]
 [-6.67530701e+02  7.24580078e+01  6.87657852e+01 ... -2.89513528e-01
   1.07810535e+01 -2.51215219e+00]]"
data\ASI\ASI\wav\arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,"[[-6.5790594e+02  7.1177818e+01  4.0308708e+01 ...  3.0246024e+00
   2.8405700e+00  4.9180732e+00]
 [-6.5755865e+02  7.6317566e+01  5.5098526e+01 ...  6.4194465e+00
   7.4028087e+00  5.3983006e+00]
 [-6.4867200e+02  7.2484261e+01  3.8866676e+01 ... -5.5728722e+00
   2.3412616e+00  3.8585351e+00]
 ...
 [-6.3772894e+02  8.4315903e+01  4.1886703e+01 ... -2.3041127e+00
   4.7045236e+00  5.2546511e+00]
 [-6.5543958e+02  6.7557991e+01  3.3728539e+01 ...  3.3398895e+00
   1.4092016e-01  2.1928754e+00]
 [-6.4149274e+02  8.2583725e+01  3.8616089e+01 ... -2.4365594e+00
   6.4946711e-02  5.7517710e+00]]"
